,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190
01.png,0,0,1,1,3,3,2,4,6,11,11,11,11,11,11,11,11,11,11
02.png,0,0,1,2,3,4,4,3,3,6,6,6,6,6,6,6,6,6,6
03.png,1,2,3,3,2,3,7,4,4,4,4,4,4,4,4,4,4,4,4
04.png,0,2,1,3,3,8,6,9,9,9,9,9,9,9,9,9,9,9,9
05.png,2,4,5,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
06.png,0,2,3,4,7,12,10,10,10,10,10,10,10,10,10,10,10,10,10
07.png,2,2,2,1,4,8,8,7,13,13,13,13,13,13,13,13,13,13,13
08.png,0,1,0,1,3,3,4,12,6,6,6,6,6,6,6,6,6,6,6
09.png,0,0,0,0,1,5,2,7,5,8,8,8,8,8,8,8,8,8,8
10.png,0,0,1,5,0,0,1,0,2,10,10,10,10,10,10,10,10,10,10
11.png,0,0,1,2,6,2,4,10,12,12,12,12,12,12,12,12,12,12,12
12.png,0,3,1,5,6,7,9,13,16,16,16,16,16,16,16,16,16,16,16
13.png,0,2,4,6,5,8,11,11,11,11,11,11,11,11,11,11,11,11,11
14.png,2,3,3,6,5,7,5,7,7,7,7,7,7,7,7,7,7,7,7
15.png,0,0,1,2,2,2,5,4,4,16,10,17,17,17,17,17,17,17,17
16.png,2,5,7,12,12,10,14,14,14,14,14,14,14,14,14,14,14,14,14
17.png,1,3,6,6,13,12,20,18,18,18,18,18,18,18,18,18,18,18,18
18.png,0,1,3,6,11,9,9,9,9,9,9,9,9,9,9,9,9,9,9
19.png,0,0,1,3,3,3,4,5,6,6,6,6,6,6,6,6,6,6,6
20.png,0,1,1,1,7,2,6,8,8,8,8,8,8,8,8,8,8,8,8
21.png,2,2,5,5,8,6,6,6,6,6,6,6,6,6,6,6,6,6,6
22.png,1,1,2,2,4,3,2,3,5,5,5,5,5,5,5,5,5,5,5
23.png,4,4,7,6,8,9,12,12,12,12,12,12,12,12,12,12,12,12,12
24.png,0,0,2,5,3,6,2,5,7,7,7,7,7,7,7,7,7,7,7
25.png,0,0,2,2,3,4,5,6,3,7,12,12,12,12,12,12,12,12,12
26.png,0,1,1,1,2,1,1,7,4,4,4,4,4,4,4,4,4,4,4
27.png,0,0,0,0,1,2,3,2,7,10,10,10,10,10,10,10,10,10,10
28.png,0,0,0,1,2,2,4,3,1,1,1,1,1,1,1,1,1,1,1
29.png,0,0,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
30.png,0,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
31.png,0,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32.png,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
33.png,0,2,2,2,5,10,10,10,10,10,10,10,10,10,10,10,10,10,10
34.png,0,1,1,0,2,3,4,6,14,14,14,14,14,14,14,14,14,14,14
35.png,0,1,1,1,2,2,2,4,3,8,8,8,8,8,8,8,8,8,8
36.png,0,1,1,4,1,5,4,5,5,5,5,5,5,5,5,5,5,5,5
37.png,1,2,2,2,4,10,16,16,16,16,16,16,16,16,16,16,16,16,16
38.png,0,0,1,1,1,1,4,5,5,5,5,5,5,5,5,5,5,5,5
39.png,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
40.png,1,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
41.png,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
42.png,1,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
43.png,1,2,2,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
44.png,1,1,1,3,5,6,7,7,7,7,7,7,7,7,7,7,7,7,7
45.png,0,0,0,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2
46.png,0,0,0,0,0,1,4,4,5,5,5,5,5,5,5,5,5,5,5
47.png,1,1,2,2,2,2,3,5,5,5,5,5,5,5,5,5,5,5,5
48.png,1,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
49.png,1,2,2,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5
50.png,2,6,6,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
