,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190
01.png,0,0,0,0,0,0,1,6,2,4,4,4,4,4,4,4,4,4,4
02.png,0,0,0,0,0,1,2,3,2,2,2,2,2,2,2,2,2,2,2
03.png,9,16,24,31,39,46,54,61,63,63,63,63,63,63,63,63,63,63,63
04.png,0,0,0,0,0,0,2,3,3,3,3,3,3,3,3,3,3,3,3
05.png,0,0,1,3,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
06.png,0,0,0,3,7,8,11,11,11,11,11,11,11,11,11,11,11,11,11
07.png,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3
08.png,0,0,0,0,0,0,1,7,3,3,3,3,3,3,3,3,3,3,3
09.png,0,0,0,0,0,1,1,1,3,4,4,4,4,4,4,4,4,4,4
10.png,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2
11.png,0,0,0,0,2,4,2,3,18,18,18,18,18,18,18,18,18,18,18
12.png,0,0,0,2,3,3,4,7,7,7,7,7,7,7,7,7,7,7,7
13.png,0,0,0,0,0,1,1,3,3,3,3,3,3,3,3,3,3,3,3
14.png,9,16,24,31,39,46,54,55,55,55,55,55,55,55,55,55,55,55,55
15.png,0,0,1,1,2,2,2,2,3,3,25,27,27,27,27,27,27,27,27
16.png,9,16,24,31,39,46,53,53,53,53,53,53,53,53,53,53,53,53,53
17.png,0,0,0,1,1,2,6,7,7,7,7,7,7,7,7,7,7,7,7
18.png,0,0,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
19.png,0,0,0,0,1,2,3,6,5,5,5,5,5,5,5,5,5,5,5
20.png,0,0,0,0,6,7,2,3,3,3,3,3,3,3,3,3,3,3,3
21.png,9,16,24,31,39,44,44,44,44,44,44,44,44,44,44,44,44,44,44
22.png,0,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
23.png,6,12,2,31,39,35,0,0,0,0,0,0,0,0,0,0,0,0,0
24.png,0,0,0,3,1,2,6,2,11,11,11,11,11,11,11,11,11,11,11
25.png,0,0,0,0,0,0,5,5,6,9,10,10,10,10,10,10,10,10,10
26.png,0,0,0,0,0,1,1,3,3,3,3,3,3,3,3,3,3,3,3
27.png,0,0,0,0,0,0,1,1,4,7,7,7,7,7,7,7,7,7,7
28.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29.png,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
30.png,0,3,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
31.png,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32.png,4,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
33.png,0,1,1,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5
34.png,0,0,0,0,3,1,2,4,16,16,16,16,16,16,16,16,16,16,16
35.png,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2
36.png,0,0,0,1,1,1,3,4,4,4,4,4,4,4,4,4,4,4,4
37.png,0,0,0,0,3,5,7,7,7,7,7,7,7,7,7,7,7,7,7
38.png,0,0,0,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5
39.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40.png,7,10,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
41.png,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
42.png,0,7,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
43.png,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
44.png,9,16,24,31,39,46,54,61,61,61,61,61,61,61,61,61,61,61,61
45.png,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
46.png,0,0,0,0,0,1,2,4,5,5,5,5,5,5,5,5,5,5,5
47.png,0,1,1,31,39,46,54,61,61,61,61,61,61,61,61,61,61,61,61
48.png,1,5,7,9,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
49.png,0,0,1,1,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3
50.png,4,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
