,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190
01.png,0,1,0,0,1,0,0,1,1,4,2,4,6,2,3,9,3,3,3
02.png,0,0,0,0,1,0,0,2,1,4,3,2,1,2,5,12,12,12,12
03.png,1,1,1,4,4,3,9,3,15,3,10,2,2,2,2,2,2,2,2
04.png,2,2,3,7,6,6,6,13,11,8,18,12,12,12,12,12,12,12,12
05.png,1,3,3,6,10,7,13,14,18,23,20,20,20,20,20,20,20,20,20
06.png,0,2,2,7,6,8,13,15,11,15,17,17,17,17,17,17,17,17,17
07.png,2,3,2,0,6,5,4,11,9,14,16,3,24,24,24,24,24,24,24
08.png,1,1,3,1,4,5,2,9,7,4,13,7,7,7,7,7,7,7,7
09.png,0,0,2,0,0,1,6,3,9,3,6,3,11,7,7,7,7,7,7
10.png,0,0,1,0,0,2,3,3,4,1,3,4,3,2,6,6,6,6,6
11.png,0,0,3,3,0,5,2,5,5,0,9,12,5,3,10,3,3,3,3
12.png,1,3,3,4,13,8,14,10,10,16,23,10,14,14,14,14,14,14,14
13.png,0,1,5,7,9,13,11,11,13,21,17,11,25,25,25,25,25,25,25
14.png,0,2,1,3,5,7,3,9,7,5,12,19,19,19,19,19,19,19,19
15.png,0,0,0,0,0,1,0,0,1,1,1,0,5,0,2,4,7,7,7
16.png,3,3,5,8,9,12,13,12,19,16,13,26,29,29,29,29,29,29,29
17.png,1,3,4,4,8,10,12,16,12,13,15,28,28,28,28,28,28,28,28
18.png,0,3,6,4,12,8,10,15,19,22,22,22,22,22,22,22,22,22,22
19.png,2,2,3,3,4,3,3,3,10,4,9,9,5,11,13,5,7,7,7
20.png,1,1,4,5,4,6,4,3,5,2,2,7,6,9,10,10,10,10,10
21.png,3,3,4,5,5,8,10,13,7,9,16,10,21,11,17,29,29,29,29
22.png,2,2,3,2,2,2,4,3,5,5,6,4,4,7,5,8,10,10,10
23.png,4,5,5,9,5,7,10,6,13,8,9,15,14,15,15,15,15,15,15
24.png,1,2,4,3,3,4,5,4,3,11,8,12,5,5,5,5,5,5,5
25.png,0,0,1,0,4,5,3,5,11,3,0,10,2,3,3,3,3,3,3
26.png,0,0,0,0,0,1,4,4,3,2,2,4,6,1,3,5,6,4,4
27.png,0,0,0,0,0,1,0,2,2,1,3,3,2,4,4,4,4,4,4
28.png,0,0,1,0,1,0,1,0,1,3,1,2,2,6,6,6,6,6,6
29.png,1,1,2,2,1,3,4,4,5,3,6,7,7,7,7,7,7,7,7
30.png,2,4,4,5,4,4,7,6,8,12,12,12,12,12,12,12,12,12,12
31.png,0,1,0,2,0,2,0,1,0,0,1,5,5,5,5,5,5,5,5
32.png,2,3,4,4,5,4,4,7,7,7,7,7,7,7,7,7,7,7,7
33.png,0,0,1,3,0,0,2,1,4,1,1,4,1,1,1,1,1,1,1
34.png,0,0,0,1,1,0,3,0,1,4,6,3,9,9,9,9,9,9,9
35.png,0,0,0,0,0,2,1,2,2,2,8,11,4,4,4,4,4,4,4
36.png,0,0,0,0,1,1,2,4,3,1,2,3,3,3,3,3,3,3,3
37.png,0,1,0,3,0,4,7,5,4,6,6,6,6,6,6,6,6,6,6
38.png,0,0,1,2,2,2,2,6,2,2,2,6,3,3,4,4,4,4,4
39.png,2,2,3,3,5,4,4,6,8,5,9,5,14,7,8,8,8,8,8
40.png,1,3,4,5,5,8,4,5,5,5,5,5,5,5,5,5,5,5,5
41.png,0,0,1,1,1,3,2,4,3,5,3,5,5,5,5,5,5,5,5
42.png,2,2,4,2,2,4,5,7,4,6,5,5,6,6,6,6,6,6,6
43.png,1,2,2,0,3,2,7,5,5,6,6,4,6,6,8,8,8,8,8
44.png,2,3,4,6,6,4,5,5,7,12,8,8,10,9,7,7,7,7,7
45.png,2,2,2,3,3,3,3,2,2,5,2,3,9,4,3,9,4,13,13
46.png,1,1,2,2,4,4,3,3,5,6,6,5,4,4,4,4,3,6,6
47.png,1,1,1,0,1,1,1,1,2,2,2,4,2,3,3,6,3,4,4
48.png,1,1,2,3,1,5,5,6,2,5,2,4,3,3,3,3,3,3,3
49.png,0,1,1,3,1,7,4,1,10,0,3,8,11,13,13,13,13,13,13
50.png,0,1,2,4,3,4,5,8,7,6,7,7,7,7,7,7,7,7,7
