,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190
01.png,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
02.png,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2
03.png,9,16,24,31,39,46,54,61,69,76,84,87,87,87,87,87,87,87,87
04.png,2,7,2,9,16,10,2,2,2,2,2,2,2,2,2,2,2,2,2
05.png,9,16,24,31,39,46,54,61,69,76,77,77,77,77,77,77,77,77,77
06.png,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
07.png,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
08.png,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2
09.png,0,0,0,0,0,0,1,1,69,76,84,91,99,103,103,103,103,103,103
10.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.png,0,16,24,31,39,46,54,61,69,76,84,91,94,94,94,94,94,94,94
13.png,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2
14.png,0,16,24,31,39,46,54,61,69,76,84,89,89,89,89,89,89,89,89
15.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
16.png,10,16,24,31,39,46,54,62,69,76,84,91,97,97,97,97,97,97,97
17.png,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
18.png,0,0,2,4,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3
19.png,0,7,9,3,4,6,6,8,10,5,5,7,14,3,16,17,19,20,20
20.png,0,1,3,3,39,48,54,61,69,76,84,91,99,106,109,109,109,109,109
21.png,9,16,10,19,39,47,54,61,70,14,77,91,100,107,114,116,116,116,116
22.png,0,2,3,5,2,2,2,3,3,3,3,4,4,4,4,4,4,4,4
23.png,9,16,24,31,39,46,55,62,70,76,84,91,100,100,100,100,100,100,100
24.png,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
25.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
27.png,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2
28.png,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
29.png,9,16,24,31,39,46,54,61,69,76,84,86,86,86,86,86,86,86,86
30.png,9,16,24,31,39,46,54,61,69,76,76,76,76,76,76,76,76,76,76
31.png,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
32.png,9,16,24,31,39,46,54,58,58,58,58,58,58,58,58,58,58,58,58
33.png,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
34.png,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
35.png,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
36.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37.png,0,0,0,0,0,1,1,1,2,2,2,2,2,2,2,2,2,2,2
38.png,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2
39.png,9,16,24,31,39,46,54,61,69,76,84,91,99,106,108,108,108,108,108
40.png,9,16,24,31,39,47,54,61,61,61,61,61,61,61,61,61,61,61,61
41.png,0,0,0,0,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2
42.png,9,16,24,31,39,46,54,61,69,76,85,91,95,95,95,95,95,95,95
43.png,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2,2
44.png,9,16,24,31,39,46,54,61,69,76,84,91,99,106,114,117,117,117,117
45.png,9,16,24,31,39,46,54,61,69,76,84,91,99,106,114,121,129,133,133
46.png,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2
47.png,0,0,0,0,0,46,55,61,69,76,84,91,99,106,114,121,129,130,130
48.png,9,16,24,31,40,46,54,62,69,76,84,91,95,95,95,95,95,95,95
49.png,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
50.png,0,1,1,1,1,1,2,2,3,3,3,3,3,3,3,3,3,3,3
